Flow,o,d,pro_border,hu_border,Distance,o_pop,o_gdp,O_expenditure,O_science,O_education,d_pop,d_gdp,D_expenditure,D_science,D_education,o_aqi,o_pm25,d_aqi,d_pm25,o_indus,d_indus,Var4,province
619.0,七台河市,三亚市,1,0,3632.74,79,2300000.0,882841.0,3204,78284.0,59,5300000.0,1300000.0,27590,200353.0,62.2401,29.4463,33.4492,14.1384,41.54,7.0,4,Heilongjiang
17309.0,七台河市,上海市,1,0,1772.24,79,2300000.0,882841.0,3204,78284.0,1455,310000000.0,75000000.0,3900000,8700000.0,62.2401,29.4463,62.9887,35.6328,41.54,30.46,1351,Heilongjiang
2898.0,七台河市,伊春市,0,0,242.172,79,2300000.0,882841.0,3204,78284.0,116,2600000.0,1500000.0,2618,74585.0,62.2401,29.4463,38.8898,18.5847,41.54,25.26,120,Heilongjiang
264.0,七台河市,佛山市,1,0,2974.62,79,2300000.0,882841.0,3204,78284.0,420,94000000.0,7700000.0,462621,1400000.0,62.2401,29.4463,58.2373,32.9859,41.54,57.72,10,Heilongjiang
375815.0,七台河市,佳木斯市,0,0,171.508,79,2300000.0,882841.0,3204,78284.0,235,9900000.0,2700000.0,2339,270632.0,62.2401,29.4463,51.7514,27.9859,41.54,25.78,21937,Heilongjiang
69591.0,七台河市,北京市,1,0,1289.95,79,2300000.0,882841.0,3204,78284.0,1359,280000000.0,68000000.0,3600000,9600000.0,62.2401,29.4463,85.4887,49.5311,41.54,19.01,15068,Heilongjiang
1315.0,七台河市,南京市,1,0,1813.17,79,2300000.0,882841.0,3204,78284.0,681,120000000.0,14000000.0,672942,2200000.0,62.2401,29.4463,74.9209,42.6525,41.54,38.0,18,Heilongjiang
159110.0,七台河市,双鸭山市,0,0,152.849,79,2300000.0,882841.0,3204,78284.0,94,4600000.0,1500000.0,1007,149681.0,62.2401,29.4463,50.5113,26.1073,41.54,28.57,6773,Heilongjiang
604612.0,七台河市,哈尔滨市,0,0,224.189,79,2300000.0,882841.0,3204,78284.0,955,63000000.0,9600000.0,87425,1200000.0,62.2401,29.4463,66.4548,37.7175,41.54,29.93,45580,Heilongjiang
2116.0,七台河市,唐山市,1,0,1190.92,79,2300000.0,882841.0,3204,78284.0,755,65000000.0,6600000.0,71110,1300000.0,62.2401,29.4463,96.6271,59.6384,41.54,62.1,232,Heilongjiang
8890.0,七台河市,大庆市,0,1,465.882,79,2300000.0,882841.0,3204,78284.0,273,27000000.0,2900000.0,4971,439536.0,62.2401,29.4463,51.2232,26.6243,41.54,62.09,655,Heilongjiang
10251.0,七台河市,大连市,1,0,963.478,79,2300000.0,882841.0,3204,78284.0,595,70000000.0,9200000.0,121861,1100000.0,62.2401,29.4463,59.3701,29.2486,41.54,38.42,2940,Heilongjiang
11586.0,七台河市,天津市,1,0,1284.06,79,2300000.0,882841.0,3204,78284.0,1050,190000000.0,33000000.0,1200000,4400000.0,62.2401,29.4463,83.1412,49.3475,41.54,40.94,2649,Heilongjiang
2360.0,七台河市,广州市,1,0,2913.12,79,2300000.0,882841.0,3204,78284.0,898,220000000.0,22000000.0,1700000,4000000.0,62.2401,29.4463,56.4887,33.387,41.54,27.97,22,Heilongjiang
1666.0,七台河市,成都市,1,1,2803.29,79,2300000.0,882841.0,3204,78284.0,1435,140000000.0,18000000.0,532565,2500000.0,62.2401,29.4463,73.9153,46.9237,41.54,43.92,28,Heilongjiang
516.0,七台河市,昆明市,1,0,3314.99,79,2300000.0,882841.0,3204,78284.0,563,49000000.0,7800000.0,168930,1200000.0,62.2401,29.4463,48.9322,26.6921,41.54,38.71,6,Heilongjiang
3773.0,七台河市,杭州市,1,0,1984.09,79,2300000.0,882841.0,3204,78284.0,754,130000000.0,15000000.0,923236,2800000.0,62.2401,29.4463,64.3814,37.3701,41.54,33.6,48,Heilongjiang
390.0,七台河市,松原市,1,0,499.952,79,2300000.0,882841.0,3204,78284.0,275,14000000.0,2700000.0,2619,367008.0,62.2401,29.4463,61.6215,27.4379,41.54,43.61,38,Heilongjiang
1183.0,七台河市,武汉市,1,0,2162.52,79,2300000.0,882841.0,3204,78284.0,854,130000000.0,17000000.0,1100000,2700000.0,62.2401,29.4463,77.3192,46.7599,41.54,43.71,11,Heilongjiang
21787.0,七台河市,沈阳市,1,0,724.846,79,2300000.0,882841.0,3204,78284.0,737,58000000.0,8600000.0,161669,1100000.0,62.2401,29.4463,69.8475,39.1638,41.54,39.2,3639,Heilongjiang
3192.0,七台河市,济南市,1,0,1485.29,79,2300000.0,882841.0,3204,78284.0,644,72000000.0,8300000.0,128982,1400000.0,62.2401,29.4463,97.5678,52.6412,41.54,33.83,201,Heilongjiang
20969.0,七台河市,深圳市,1,0,2956.81,79,2300000.0,882841.0,3204,78284.0,435,220000000.0,46000000.0,3500000,5100000.0,62.2401,29.4463,46.1356,26.8757,41.54,41.44,2864,Heilongjiang
277.0,七台河市,温州市,1,0,2150.68,79,2300000.0,882841.0,3204,78284.0,825,54000000.0,7600000.0,157623,1800000.0,62.2401,29.4463,54.6158,29.8418,41.54,40.44,5,Heilongjiang
3038.0,七台河市,烟台市,1,0,1232.56,79,2300000.0,882841.0,3204,78284.0,654,73000000.0,7100000.0,243319,1200000.0,62.2401,29.4463,65.3164,28.9605,41.54,50.17,25,Heilongjiang
253707.0,七台河市,牡丹江市,0,0,158.198,79,2300000.0,882841.0,3204,78284.0,255,13000000.0,2900000.0,10470,323752.0,62.2401,29.4463,54.6073,28.7599,41.54,35.17,14798,Heilongjiang
285.0,七台河市,福州市,1,0,2390.58,79,2300000.0,882841.0,3204,78284.0,693,71000000.0,9400000.0,196765,1600000.0,62.2401,29.4463,50.065,23.0282,41.54,36.69,5,Heilongjiang
4229.0,七台河市,秦皇岛市,1,0,1110.28,79,2300000.0,882841.0,3204,78284.0,298,15000000.0,2600000.0,30410,508832.0,62.2401,29.4463,71.2542,37.4774,41.54,35.33,1509,Heilongjiang
13946.0,七台河市,绥化市,0,0,335.098,79,2300000.0,882841.0,3204,78284.0,528,13000000.0,4200000.0,5379,617029.0,62.2401,29.4463,57.4407,34.7542,41.54,25.77,753,Heilongjiang
2067.0,七台河市,葫芦岛市,1,0,1009.25,79,2300000.0,882841.0,3204,78284.0,277,7200000.0,2000000.0,2857,321034.0,62.2401,29.4463,75.3362,42.0395,41.54,47.79,733,Heilongjiang
